id,sentence
0,"Delfiny są wysoce wyspecjalizowanymi ssakami morskimi, których morfologia odzwierciedla miliony lat adaptacji do środowiska wodnego"
1,"Ich ciało o opływowym, wrzecionowatym kształcie minimalizuje opór hydrodynamiczny podczas szybkiego pływania"
2,"Skóra delfinów jest gładka, elastyczna i regularnie złuszczana, co ogranicza rozwój biofilmu i turbulencji"
3,Podskórna warstwa tłuszczowa działa jak izolacja termiczna oraz rezerwuar energetyczny
4,"Płetwa grzbietowa stabilizuje ciało, a płetwy piersiowe służą do sterowania precyzyjnymi manewrami"
5,Płetwa ogonowa poruszana potężnymi mięśniami generuje ciąg w płaszczyźnie pionowej
6,"Delfiny oddychają powietrzem, wykorzystując pojedyncze nozdrze umieszczone na szczycie głowy zwane otworem oddechowym"
7,"Wdech jest krótki, eksplosywny i niezwykle wydajny dzięki elastycznym płucom oraz wysokiej pojemności życiowej"
8,"Krew delfinów charakteryzuje się podwyższonym stężeniem mioglobiny, co ułatwia magazynowanie tlenu w mięśniach"
9,"Podczas nurkowania następuje kontrolowana bradykardia, która zmniejsza zużycie tlenu przez tkanki obwodowe"
10,Wiele gatunków potrafi wstrzymywać oddech przez kilka do kilkunastu minut
11,Zdolności sensoryczne delfinów obejmują fenomenalny słuch w wodzie i w powietrzu
12,Kluczowym zmysłem na krótkim dystansie jest echolokacja wykorzystująca krótkie kliki o wysokiej częstotliwości
13,"Odbite echo dostarcza informacji o odległości, kształcie, wielkości i nawet teksturze celu"
14,"Dane akustyczne są integrowane w wyspecjalizowanych ośrodkach mózgowych, tworząc precyzyjne mapy przestrzeni"
15,Oprócz sygnałów echolokacyjnych delfiny emitują bogaty repertuar gwizdów o funkcjach społecznych
16,Wiele osobników posiada charakterystyczny sygnał identyfikacyjny przypominający imię dźwiękowe
17,"Komunikacja obejmuje także sygnały dotykowe, posturalne i chemiczne o mniejszym zasięgu"
18,"Struktura społeczna stad delfinów jest złożona, dynamiczna i często fission–fusion"
19,"Relacje koalicyjne między samcami mogą utrzymywać się przez lata, zwiększając sukces reprodukcyjny"
20,Samice tworzą matrylinearne więzi sprzyjające opiece nad młodymi i transmisji wiedzy
21,"Kultura delfinów przejawia się w lokalnych tradycjach żerowania, narzędziach i dialektach akustycznych"
22,Przykładem zachowania kulturowego jest używanie gąbek do osłony pyska podczas penetrowania dna
23,"Strategie łowieckie są różnorodne i obejmują napędzanie ławic, barwienie wody mułem i współpracę z rybakami"
24,"Dieta bywa oportunistyczna, lecz najczęściej składa się z ryb pelagicznych i głowonogów"
25,"Metabolizm delfinów jest wysoki, co wymusza częste żerowanie i wydajne przetwarzanie energii"
26,Termoregulacja wspierana jest przez przeciwprądowy system wymiany ciepła w kończynach
27,Mózg delfinów cechuje się dużą encefalizacją oraz obfitą korą asocjacyjną
28,Obserwuje się u nich zachowania wskazujące na samoświadomość i teorię umysłu
29,"W testach poznawczych wykazują zdolność do planowania, imitacji i rozwiązywania problemów wieloetapowych"
30,"Cykl rozrodczy delfinów obejmuje długą ciążę, zwykle trwającą około roku"
31,"Poród najczęściej rozpoczyna się wyjściem ogona, co redukuje ryzyko aspiracji wody"
32,Noworodki są intensywnie wspierane przez matkę i ciotki w pierwszych tygodniach życia
33,"Laktacja dostarcza gęstego, wysokotłuszczowego mleka wspomagającego szybki wzrost cielęcia"
34,Wychowanie młodych obejmuje naukę technik łowieckich oraz repertuaru sygnałów społecznych
35,"Długość życia zależy od gatunku i warunków środowiskowych, sięgając nawet kilku dekad"
36,"Wśród delfinowatych znajduje się orka, największy przedstawiciel rodziny o złożonej strukturze społecznej"
37,"Rozmieszczenie geograficzne delfinów obejmuje wody tropikalne, umiarkowane i subpolarne"
38,"Preferencje siedliskowe różnią się między gatunkami, od stref przybrzeżnych po pelagiczne głębiny"
39,Migracje sezonowe mogą wynikać z dostępności pokarmu i zmian termicznych w wodzie
40,"Akustyczny hałas antropogeniczny zaburza komunikację i echolokację, zwiększając stres i ryzyko kolizji"
41,"Zanieczyszczenia chemiczne bioakumulują się w tkance tłuszczowej, wpływając na układ immunologiczny i rozrodczy"
42,Przypadkowe zaplątanie w sieci rybackie stanowi jedną z głównych przyczyn śmiertelności pozapołowowej
43,Uderzenia statków i ingerencja turystyczna również pogarszają dobrostan populacji
44,"Ochrona delfinów obejmuje strefy ciszy, morskie obszary chronione i modyfikacje narzędzi połowowych"
45,Wprowadzanie pingerów akustycznych może zmniejszać przyłów poprzez odstraszanie zwierząt od sieci
46,"Programy monitoringu wykorzystują fotoidentyfikację, biotelemetrię i akustykę pasywną"
47,Dane populacyjne wspierają modele oceny ryzyka i adaptacyjne zarządzanie łowiskami
48,Badania nad mikrobiomem skóry i dróg oddechowych dostarczają wglądu w zdrowie osobników i ekologię chorób
49,Analizy izotopowe pomagają odtwarzać nisze troficzne i zmiany w diecie na przestrzeni lat
50,Rekonstrukcje historii demograficznej wykorzystują markery genetyczne i pełne genomy
