id,sentence
0,"Maroko to kraj położony w północno-zachodniej części Afryki, graniczący z Oceanem Atlantyckim i Morzem Śródziemnym"
1,"Od Europy oddziela go wąska Cieśnina Gibraltarska, co czyni go miejscem symbolicznego spotkania dwóch kontynentów"
2,"Jego powierzchnia obejmuje zarówno rozległe pustynie, jak i potężne masywy górskie, a także żyzne doliny i wybrzeża pełne palmowych oaz"
3,"Stolicą państwa jest Rabat, miasto nowoczesne, a zarazem pełne zabytków o historycznym znaczeniu"
4,"Największym i najbardziej zaludnionym ośrodkiem pozostaje Casablanca – dynamiczna metropolia, symbol gospodarczej potęgi kraju"
5,"Maroko jest monarchią konstytucyjną, w której kluczową rolę odgrywa król Mohammed VI, będący zarówno przywódcą politycznym, jak i religijnym"
6,"Językami urzędowymi są arabski i amazighski (berberyjski), choć francuski wciąż odgrywa ogromną rolę w edukacji, administracji i biznesie"
7,"Marokańskie społeczeństwo jest mozaiką kultur, tradycji i języków, tworząc fascynującą mieszankę afrykańskiej energii, arabskiej duchowości i europejskiego wpływu"
8,"Dominującą religią jest islam, który kształtuje codzienne rytuały, architekturę oraz rytm życia mieszkańców"
9,"W miastach modlitwa rozbrzmiewa pięć razy dziennie z minaretów, tworząc mistyczną muzykę przestrzeni"
10,"Kraj ma bogatą historię, sięgającą czasów fenickich, kartagińskich i rzymskich kolonii"
11,"W średniowieczu stał się jednym z najpotężniejszych ośrodków świata islamskiego, znanym z rozwiniętej nauki, sztuki i handlu"
12,"Miasta takie jak Fez, Marrakesz, Meknes i Rabat, zwane „czterema cesarskimi miastami”, są świadectwem tej dawnej potęgi"
13,"Fez, z wąskimi uliczkami i najstarszym uniwersytetem świata – Al-Karawijjin – symbolizuje ciągłość edukacji i duchowego dziedzictwa"
14,"Marrakesz zachwyca intensywnością kolorów, zapachów i dźwięków, które mieszają się na słynnym placu Jemaa el-Fna"
15,"Tam zaklinacze węży, muzycy gnawa, handlarze przypraw i gawędziarze tworzą spektakl, który wydaje się trwać od setek lat"
16,"Casablanca, choć nowoczesna, łączy tradycję z postępem – to właśnie tam znajduje się monumentalny Meczet Hassana II, z minaretem górującym nad oceanem"
17,"Miasto Fez znane jest ze swoich warsztatów rzemieślniczych, gdzie garbarze, tkacze i garncarze kontynuują tradycje przekazywane z pokolenia na pokolenie"
18,"W Meknes z kolei podziwiać można monumentalne bramy, dawne stajnie królewskie i ślady ambicji sułtana Moulaya Ismaila"
19,"Marokańskie krajobrazy są niezwykle zróżnicowane – od ośnieżonych szczytów Atlasu Wysokiego po złociste wydmy Sahary, które przy zachodzie słońca nabierają barwy miedzi i purpury"
20,"W górach Rif rozciągają się tarasy upraw oliwek i migdałowców, a w oazach południa kwitną palmy daktylowe"
21,"W miastach takich jak Szefszawan zachwyca błękitna architektura, symbol czystości, spokoju i gościnności"
